,Country,country_code,country,year,HIV_deaths,population,health_budget_prop,HIV_mortality
135,Eritrea,ERI,Eritrea,2006,2000.0,2700000.0,3.6,74.1
115,Djibouti,DJI,Djibouti,2006,600.0,856000.0,12.6,70.1
35,Burkina Faso,BFA,Burkina Faso,2006,10000.0,14400000.0,16.2,69.4
5,Angola,AGO,Angola,2006,13000.0,20000000.0,6.1,65.0
185,Guinea,GIN,Guinea,2006,5900.0,9440000.0,4.0,62.5
125,Equatorial Guinea,GNQ,Equatorial Guinea,2006,600.0,990000.0,7.0,60.6
275,Mauritius,MUS,Mauritius,2006,600.0,1260000.0,8.8,47.6
15,Benin,BEN,Benin,2006,3500.0,8690000.0,12.1,40.3
355,Sierra Leone,SLE,Sierra Leone,2006,2200.0,5620000.0,6.8,39.1
255,Mali,MLI,Mali,2006,5200.0,14000000.0,11.6,37.1
265,Mauritania,MRT,Mauritania,2006,1100.0,3010000.0,7.8,36.5
335,Sao Tome and Principe,STP,Sao Tome and Principe,2006,60.0,166000.0,13.2,36.1
305,Niger,NER,Niger,2006,4300.0,14300000.0,16.1,30.1
365,Somalia,SOM,Somalia,2006,3100.0,11000000.0,,28.2
385,Sudan,SDN,Sudan,2006,6200.0,32000000.0,6.6,19.4
165,Gambia,GMB,Gambia,2006,300.0,1720000.0,11.3,17.4
345,Senegal,SEN,Senegal,2006,1600.0,11500000.0,12.1,13.9
85,Comoros,COM,Comoros,2006,60.0,605000.0,11.9,9.9
235,Madagascar,MDG,Madagascar,2006,1600.0,19700000.0,12.4,8.1
436,Zimbabwe,ZWE,Zimbabwe,2007,130000.0,12800000.0,,1015.6
146,Eswatini,SWZ,Eswatini,2007,9200.0,1090000.0,10.4,844.0
216,Lesotho,LSO,Lesotho,2007,16000.0,1950000.0,11.0,820.5
376,South Africa,ZAF,South Africa,2007,390000.0,50500000.0,11.1,772.3
246,Malawi,MWI,Malawi,2007,68000.0,13600000.0,14.2,500.0
296,Namibia,NAM,Namibia,2007,10000.0,2020000.0,13.1,495.0
26,Botswana,BWA,Botswana,2007,9200.0,1910000.0,18.4,481.7
426,Zambia,ZMB,Zambia,2007,49000.0,12600000.0,13.4,388.9
286,Mozambique,MOZ,Mozambique,2007,74000.0,21300000.0,12.8,347.4
66,Central African Republic,CAF,Central African Republic,2007,14000.0,4460000.0,10.4,313.9
396,Tanzania,TZA,Tanzania,2007,120000.0,41400000.0,13.7,289.9
206,Kenya,KEN,Kenya,2007,99000.0,38000000.0,7.7,260.5
416,Uganda,UGA,Uganda,2007,74000.0,29700000.0,9.8,249.2
106,Cote d'Ivoire,CIV,Cote d'Ivoire,2007,45000.0,21000000.0,6.6,214.3
56,Cameroon,CMR,Cameroon,2007,38000.0,18000000.0,6.8,211.1
46,Burundi,BDI,Burundi,2007,15000.0,8160000.0,11.8,183.8
156,Gabon,GAB,Gabon,2007,2500.0,1560000.0,5.6,160.3
316,Nigeria,NGA,Nigeria,2007,220000.0,153000000.0,9.2,143.8
406,Togo,TGO,Togo,2007,8400.0,6190000.0,10.6,135.7
326,Rwanda,RWA,Rwanda,2007,12000.0,9550000.0,22.0,125.7
96,Congo (Brazzaville),COG,"Congo, Rep.",2007,4800.0,3980000.0,5.3,120.6
76,Chad,TCD,Chad,2007,13000.0,11100000.0,4.6,117.1
226,Liberia,LBR,Liberia,2007,4000.0,3670000.0,17.3,109.0
196,Guinea-Bissau,GNB,Guinea-Bissau,2007,1300.0,1450000.0,4.1,89.7
176,Ghana,GHA,Ghana,2007,20000.0,23600000.0,15.4,84.7
116,Djibouti,DJI,Djibouti,2007,600.0,875000.0,14.2,68.6
136,Eritrea,ERI,Eritrea,2007,1800.0,2740000.0,3.6,65.7
